time,packet_uid,from_holder,to_holder,selected_edge,cum_hops
1696,1629:14189:packet4,veh951,veh932,787217965#2,19
1696,1629:14189:packet5,veh827,veh951,1171265452#1,20
1696,1629:14189:packet5,veh951,veh932,787217965#2,21
1696,1629:14189:packet6,veh827,veh951,1171265452#1,19
1696,1629:14189:packet6,veh951,veh932,787217965#2,20
1696,1629:14189:packet7,veh827,veh951,1171265452#1,19
1696,1629:14189:packet7,veh951,veh932,787217965#2,20
1696,1630:14229:packet0,veh951,veh827,-859881540,17
1696,1630:14229:packet0,veh827,veh880,-157801818#4,18
1696,1630:14229:packet0,veh880,veh873,-157801818#1,19
1696,1630:14229:packet1,veh951,veh827,-859881540,17
1696,1630:14229:packet1,veh827,veh880,-157801818#4,18
1696,1630:14229:packet1,veh880,veh873,-157801818#1,19
1696,1630:14229:packet2,veh951,veh827,-859881540,17
1696,1630:14229:packet2,veh827,veh880,-157801818#4,18
1696,1630:14229:packet2,veh880,veh873,-157801818#1,19
1696,1631:14235:packet0,veh901,veh877,56699063#1,10
1696,1631:14235:packet1,veh901,veh877,56699063#1,10
1696,1631:14235:packet2,veh901,veh877,56699063#1,10
1696,1631:14235:packet3,veh901,veh877,56699063#1,10
1696,1631:14235:packet4,veh901,veh877,56699063#1,10
1696,1631:14235:packet5,veh901,veh877,56699063#1,10
1696,1631:14235:packet6,veh901,veh877,56699063#1,10
1696,1631:14253:packet1,veh823,veh876,787217953#0,17
1696,1631:14253:packet2,veh823,veh876,787217953#0,17
1696,1631:14253:packet3,veh823,veh876,787217953#0,17
1696,1632:14273:packet0,veh951,veh827,-859881540,12
1696,1632:14273:packet0,veh827,veh880,-157801818#4,13
1696,1632:14273:packet0,veh880,veh873,-157801818#1,14
1696,1632:14273:packet0,veh873,veh835,-48756664,15
1696,1632:14273:packet1,veh951,veh827,-859881540,12
1696,1632:14273:packet1,veh827,veh880,-157801818#4,13
1696,1632:14273:packet1,veh880,veh873,-157801818#1,14
1696,1632:14273:packet1,veh873,veh835,-48756664,15
1696,1632:14273:packet2,veh951,veh827,-859881540,12
1696,1632:14273:packet2,veh827,veh880,-157801818#4,13
1696,1632:14273:packet2,veh880,veh873,-157801818#1,14
1696,1632:14273:packet2,veh873,veh860,-48756664,15
1696,1632:14273:packet2,veh860,veh835,829376220#1,16
1696,1632:14273:packet3,veh951,veh827,-859881540,12
1696,1632:14273:packet3,veh827,veh880,-157801818#4,13
1696,1632:14273:packet3,veh880,veh873,-157801818#1,14
1696,1632:14273:packet3,veh873,veh860,-48756664,15
