,Unnamed: 0,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
513,51,yes,300,[0.6 0.  0.4],49,7,0.516666667,17.58333333,0.440566006,17.58333333
514,52,yes,300,[0.6 0.1 0.3],49,7,0.516666667,17.83333333,0.453611631,17.83333333
515,53,yes,300,[0.6 0.2 0.2],49,7,0.5,18.8,0.429518307,18.8
516,54,yes,300,[0.6 0.3 0.1],49,7,0.466666667,19.15,0.404352132,19.15
517,55,yes,300,[0.6 0.4 0. ],49,7,0.466666667,19.15,0.414259539,19.15
518,56,yes,300,[0.7 0.  0.3],49,7,0.516666667,17.83333333,0.454389159,17.83333333
519,57,yes,300,[0.7 0.1 0.2],49,7,0.5,18.8,0.443053396,18.8
520,58,yes,300,[0.7 0.2 0.1],49,7,0.5,18.8,0.423051179,18.8
521,59,yes,300,[0.7 0.3 0. ],49,7,0.466666667,19.15,0.403148428,19.15
522,60,yes,300,[0.8 0.  0.2],49,7,0.5,18.8,0.443830924,18.8
523,61,yes,300,[0.8 0.1 0.1],49,7,0.5,18.8,0.430136087,18.8
524,62,yes,300,[ 0.8  0.2 -0. ],49,7,0.5,18.8,0.42163875,18.8
525,63,yes,300,[0.9 0.  0.1],49,7,0.5,18.8,0.444472938,18.8
526,64,yes,300,[ 0.9  0.1 -0. ],49,7,0.5,18.8,0.431572749,18.8
527,65,yes,300,[1. 0. 0.],49,7,0.5,18.8,0.423857354,18.8
528,0,no,600,[0. 0. 1.],49,5,0.1,9.4,0.5661606456746613,9.4
529,1,no,600,[0.  0.1 0.9],49,5,0.1,9.4,0.5555786350926508,9.4
530,2,no,600,[0.  0.2 0.8],49,5,0.1,9.4,0.5608102861576351,9.4
531,3,no,600,[0.  0.3 0.7],49,5,0.1,9.4,0.5581647835121324,9.4
532,4,no,600,[0.  0.4 0.6],49,5,0.1,9.4,0.5553723084974352,9.4
533,5,no,600,[0.  0.5 0.5],49,5,0.1,9.4,0.5553723084974352,9.4
534,6,no,600,[0.  0.6 0.4],49,5,0.1,9.4,0.5379497839320534,9.4
535,7,no,600,[0.  0.7 0.3],49,5,0.1,9.4,0.5366270326093021,9.4
536,8,no,600,[0.  0.8 0.2],49,5,0.1,9.366666666666667,0.5510450220272914,9.366666666666667
537,9,no,600,[0.  0.9 0.1],49,5,0.1,9.383333333333333,0.5497222707045403,9.383333333333333
538,10,no,600,[0. 1. 0.],49,5,0.1,9.383333333333333,0.5407608898077418,9.383333333333333
539,11,no,600,[0.1 0.  0.9],49,5,0.1,9.4,0.5740971536111692,9.4
540,12,no,600,[0.1 0.1 0.8],49,5,0.1,9.4,0.5608102861576351,9.4
541,13,no,600,[0.1 0.2 0.7],49,5,0.1,9.4,0.5581647835121324,9.4
542,14,no,600,[0.1 0.3 0.6],49,5,0.1,9.4,0.5555192808666299,9.4
543,15,no,600,[0.1 0.4 0.5],49,5,0.1,9.4,0.5553723084974352,9.4
544,16,no,600,[0.1 0.5 0.4],49,5,0.1,9.4,0.5472090431913128,9.4
545,17,no,600,[0.1 0.6 0.3],49,5,0.1,9.4,0.5458862918685613,9.4
546,18,no,600,[0.1 0.7 0.2],49,5,0.1,9.4,0.54456354054581,9.4
547,19,no,600,[0.1 0.8 0.1],49,5,0.1,9.366666666666667,0.543637614619884,9.366666666666667
548,20,no,600,[0.1 0.9 0. ],49,5,0.1,9.383333333333333,0.5370238580061274,9.383333333333333
549,21,no,600,[0.2 0.  0.8],49,5,0.1,9.4,0.5740971536111692,9.4
550,22,no,600,[0.2 0.1 0.7],49,5,0.1,9.4,0.5687467940941431,9.4
551,23,no,600,[0.2 0.2 0.6],49,5,0.1,9.4,0.5581647835121324,9.4
552,24,no,600,[0.2 0.3 0.5],49,5,0.1,9.4,0.5555192808666299,9.4
553,25,no,600,[0.2 0.4 0.4],49,5,0.1,9.4,0.5472090431913128,9.4
554,26,no,600,[0.2 0.5 0.3],49,5,0.1,9.4,0.5538227998050694,9.4
555,27,no,600,[0.2 0.6 0.2],49,5,0.1,9.4,0.5472090431913126,9.4
556,28,no,600,[0.2 0.7 0.1],49,5,0.1,9.366666666666667,0.5370238580061276,9.366666666666667
557,29,no,600,[0.2 0.8 0. ],49,5,0.1,9.383333333333333,0.5370238580061274,9.383333333333333
558,30,no,600,[0.3 0.  0.7],49,5,0.1,9.4,0.5661606456746613,9.4
559,31,no,600,[0.3 0.1 0.6],49,5,0.1,9.4,0.5687467940941431,9.4
560,32,no,600,[0.3 0.2 0.5],49,5,0.1,9.4,0.5552925234970153,9.4
561,33,no,600,[0.3 0.3 0.4],49,5,0.1,9.4,0.5419180379003073,9.4
562,34,no,600,[0.3 0.4 0.3],49,5,0.1,9.4,0.5472090431913126,9.4
563,35,no,600,[0.3 0.5 0.2],49,5,0.1,9.4,0.5419180379003073,9.4
564,36,no,600,[0.3 0.6 0.1],49,5,0.1,9.366666666666667,0.5462831172653868,9.366666666666667
565,37,no,600,[0.3 0.7 0. ],49,5,0.1,9.383333333333333,0.5378175087997783,9.383333333333333
566,38,no,600,[0.4 0.  0.6],49,5,0.1,9.4,0.5661606456746613,9.4
567,39,no,600,[0.4 0.1 0.5],49,5,0.1,9.4,0.5513242695287613,9.4
568,40,no,600,[0.4 0.2 0.4],49,5,0.1,9.4,0.5486787668832586,9.4
569,41,no,600,[0.4 0.3 0.3],49,5,0.1,9.4,0.5419180379003073,9.4
